,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad,,,,
2015,4,1,0,0,28,83.77,0,,,,
2015,4,1,0,10,27.83333333,84.61333333,0,,,,
2015,4,1,0,20,27.66666667,85.45666667,0,,,,
2015,4,1,0,30,27.5,86.3,0,,,,
2015,4,1,0,40,27.33333333,87.14333333,0,,,,
2015,4,1,0,50,27.16666667,87.98666667,0,,,,
2015,4,1,1,0,27,88.83,0,,,,
2015,4,1,1,10,27,87.96833333,0,,,,
2015,4,1,1,20,27,87.10666667,0,,,,
2015,4,1,1,30,27,86.245,0,,,,
2015,4,1,1,40,27,85.38333333,0,,,,
2015,4,1,1,50,27,84.52166667,0,,,,
2015,4,1,2,0,27,83.66,0,,,,
2015,4,1,2,10,26.83333333,84.50833333,0,,,,
2015,4,1,2,20,26.66666667,85.35666667,0,,,,
2015,4,1,2,30,26.5,86.205,0,,,,
2015,4,1,2,40,26.33333333,87.05333333,0,,,,
2015,4,1,2,50,26.16666667,87.90166667,0,,,,
2015,4,1,3,0,26,88.75,0,,,,
2015,4,1,3,10,25.83333333,89.65666667,0,,,,
2015,4,1,3,20,25.66666667,90.56333333,0,,,,
2015,4,1,3,30,25.5,91.47,0,,,,
2015,4,1,3,40,25.33333333,92.37666667,0,,,,
2015,4,1,3,50,25.16666667,93.28333333,0,,,,
2015,4,1,4,0,25,94.19,0,,,,
2015,4,1,4,10,25,93.27,0,,,,
2015,4,1,4,20,25,92.35,0,,,,
2015,4,1,4,30,25,91.43,0,,,,
2015,4,1,4,40,25,90.51,0,,,,
2015,4,1,4,50,25,89.59,0,,,,
2015,4,1,5,0,25,88.67,0,,,,
2015,4,1,5,10,25,88.67,0,,,,
2015,4,1,5,20,25,88.67,0,,,,
2015,4,1,5,30,25,88.67,0,,,,
2015,4,1,5,40,25,88.67,94,,,,
2015,4,1,5,50,25,88.67,188,,,,
2015,4,1,6,0,25,88.67,282,,,,
2015,4,1,6,10,25,88.67,362.3333333,,,,
2015,4,1,6,20,25,88.67,442.6666667,,,,
2015,4,1,6,30,25,88.67,523,,,,
2015,4,1,6,40,25,88.67,568.3333333,,,,
2015,4,1,6,50,25,88.67,613.6666667,,,,
2015,4,1,7,0,25,88.67,659,,,,
2015,4,1,7,10,25,88.67,687.6666667,,,,
2015,4,1,7,20,25,88.67,716.3333333,,,,
2015,4,1,7,30,25,88.67,745,,,,
2015,4,1,7,40,25,88.67,764.3333333,,,,
2015,4,1,7,50,25,88.67,783.6666667,,,,
2015,4,1,8,0,25,88.67,803,,,,
2015,4,1,8,10,25,89.59,817,,,,
2015,4,1,8,20,25,90.51,831,,,,
2015,4,1,8,30,25,91.43,845,,,,
2015,4,1,8,40,25,92.35,855.3333333,,,,
2015,4,1,8,50,25,93.27,865.6666667,,,,
2015,4,1,9,0,25,94.19,876,,,,
2015,4,1,9,10,25.33333333,93.29666667,883.3333333,,,,
2015,4,1,9,20,25.66666667,92.40333333,890.6666667,,,,
2015,4,1,9,30,26,91.51,898,,,,
2015,4,1,9,40,26.33333333,90.61666667,903.3333333,,,,
2015,4,1,9,50,26.66666667,89.72333333,908.6666667,,,,
2015,4,1,10,0,27,88.83,914,,,,914
2015,4,1,10,10,27,88.83,917.6666667,,,,930
2015,4,1,10,20,27,88.83,921.3333333,,,,930
2015,4,1,10,30,27,88.83,925,,,,930
2015,4,1,10,40,27,88.83,679.6666667,,,,930
2015,4,1,10,50,27,88.83,434.3333333,,,,930
2015,4,1,11,0,27,88.83,189,,,,930
2015,4,1,11,10,27.33333333,86.43166667,437.3333333,,,,930
2015,4,1,11,20,27.66666667,84.03333333,685.6666667,,,,930
2015,4,1,11,30,28,81.635,934,,,,930
2015,4,1,11,40,28.33333333,79.23666667,933.6666667,,,,930
2015,4,1,11,50,28.66666667,76.83833333,933.3333333,,,,930
2015,4,1,12,0,29,74.44,933,,,,933
2015,4,1,12,10,29.16666667,73.05833333,931.3333333,,,,
2015,4,1,12,20,29.33333333,71.67666667,929.6666667,,,,
2015,4,1,12,30,29.5,70.295,928,,,,
2015,4,1,12,40,29.66666667,68.91333333,925,,,,
2015,4,1,12,50,29.83333333,67.53166667,922,,,,
2015,4,1,13,0,30,66.15,919,,,,
2015,4,1,13,10,30.16666667,66.18333333,914,,,,
2015,4,1,13,20,30.33333333,66.21666667,909,,,,
2015,4,1,13,30,30.5,66.25,904,,,,
2015,4,1,13,40,30.66666667,66.28333333,897.3333333,,,,
2015,4,1,13,50,30.83333333,66.31666667,890.6666667,,,,
2015,4,1,14,0,31,66.35,884,,,,
2015,4,1,14,10,31.33333333,65.165,874.6666667,,,,
2015,4,1,14,20,31.66666667,63.98,865.3333333,,,,
2015,4,1,14,30,32,62.795,856,,,,
2015,4,1,14,40,32.33333333,61.61,843.6666667,,,,
2015,4,1,14,50,32.66666667,60.425,831.3333333,,,,
2015,4,1,15,0,33,59.24,819,,,,
2015,4,1,15,10,33,59.24,801.3333333,,,,
2015,4,1,15,20,33,59.24,783.6666667,,,,
2015,4,1,15,30,33,59.24,766,,,,
2015,4,1,15,40,33,59.24,740.6666667,,,,
2015,4,1,15,50,33,59.24,715.3333333,,,,
2015,4,1,16,0,33,59.24,690,,,,
2015,4,1,16,10,33,58.66166667,651.3333333,,,,
2015,4,1,16,20,33,58.08333333,612.6666667,,,,
2015,4,1,16,30,33,57.505,574,,,,
2015,4,1,16,40,33,56.92666667,508.3333333,,,,
2015,4,1,16,50,33,56.34833333,442.6666667,,,,
2015,4,1,17,0,33,55.77,377,,,,
2015,4,1,17,10,33.16666667,55.26333333,251.3333333,,,,
2015,4,1,17,20,33.33333333,54.75666667,125.6666667,,,,
2015,4,1,17,30,33.5,54.25,0,,,,
2015,4,1,17,40,33.66666667,53.74333333,0,,,,
2015,4,1,17,50,33.83333333,53.23666667,0,,,,
2015,4,1,18,0,34,52.73,0,,,,
2015,4,1,18,10,34,51.72,0,,,,
2015,4,1,18,20,34,50.71,0,,,,
2015,4,1,18,30,34,49.7,0,,,,
2015,4,1,18,40,34,48.69,0,,,,
2015,4,1,18,50,34,47.68,0,,,,
2015,4,1,19,0,34,46.67,0,,,,
2015,4,1,19,10,34,46.67,0,,,,
2015,4,1,19,20,34,46.67,0,,,,
2015,4,1,19,30,34,46.67,0,,,,
2015,4,1,19,40,34,46.67,0,,,,
2015,4,1,19,50,34,46.67,0,,,,
2015,4,1,20,0,34,46.67,0,,,,
2015,4,1,20,10,33.66666667,48.72666667,0,,,,
2015,4,1,20,20,33.33333333,50.78333333,0,,,,
2015,4,1,20,30,33,52.84,0,,,,
2015,4,1,20,40,32.66666667,54.89666667,0,,,,
2015,4,1,20,50,32.33333333,56.95333333,0,,,,
2015,4,1,21,0,32,59.01,0,,,,
2015,4,1,21,10,31.83333333,60.23333333,0,,,,
2015,4,1,21,20,31.66666667,61.45666667,0,,,,
2015,4,1,21,30,31.5,62.68,0,,,,
2015,4,1,21,40,31.33333333,63.90333333,0,,,,
2015,4,1,21,50,31.16666667,65.12666667,0,,,,
2015,4,1,22,0,31,66.35,0,,,,
2015,4,1,22,10,30.83333333,67.00333333,0,,,,
2015,4,1,22,20,30.66666667,67.65666667,0,,,,
2015,4,1,22,30,30.5,68.31,0,,,,
2015,4,1,22,40,30.33333333,68.96333333,0,,,,
2015,4,1,22,50,30.16666667,69.61666667,0,,,,
2015,4,1,23,0,30,70.27,0,,,,
2015,4,1,23,10,29.83333333,71.73166667,0,,,,
2015,4,1,23,20,29.66666667,73.19333333,0,,,,
2015,4,1,23,30,29.5,74.655,0,,,,
2015,4,1,23,40,29.33333333,76.11666667,0,,,,
2015,4,1,23,50,29.16666667,77.57833333,0,,,,
