,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2016,4,1,0,0,19,48.83,0
2016,4,1,0,10,18.94444444,49.005,0
2016,4,1,0,20,18.88888889,49.18,0
2016,4,1,0,30,18.83333333,49.355,0
2016,4,1,0,40,18.77777778,49.53,0
2016,4,1,0,50,18.72222222,49.705,0
2016,4,1,1,0,18.66666667,49.88,0
2016,4,1,1,10,18.61111111,50.055,0
2016,4,1,1,20,18.55555556,50.23,0
2016,4,1,1,30,18.5,50.405,0
2016,4,1,1,40,18.44444444,50.58,0
2016,4,1,1,50,18.38888889,50.755,0
2016,4,1,2,0,18.33333333,50.93,0
2016,4,1,2,10,18.27777778,51.105,0
2016,4,1,2,20,18.22222222,51.28,0
2016,4,1,2,30,18.16666667,51.455,0
2016,4,1,2,40,18.11111111,51.63,0
2016,4,1,2,50,18.05555556,51.805,0
2016,4,1,3,0,18,51.98,0
2016,4,1,3,10,18.16666667,51.70366667,0
2016,4,1,3,20,18.33333333,51.42733333,0
2016,4,1,3,30,18.5,51.151,0
2016,4,1,3,40,18.66666667,50.87466667,0
2016,4,1,3,50,18.83333333,50.59833333,0
2016,4,1,4,0,19,50.322,0
2016,4,1,4,10,19.16666667,50.04566667,0
2016,4,1,4,20,19.33333333,49.76933333,0
2016,4,1,4,30,19.5,49.493,0
2016,4,1,4,40,19.66666667,49.21666667,0
2016,4,1,4,50,19.83333333,48.94033333,0
2016,4,1,5,0,20,48.664,0
2016,4,1,5,10,20.16666667,48.38766667,0
2016,4,1,5,20,20.33333333,48.11133333,0
2016,4,1,5,30,20.5,47.835,0
2016,4,1,5,40,20.66666667,47.55866667,0
2016,4,1,5,50,20.83333333,47.28233333,0
2016,4,1,6,0,21,47.006,0
2016,4,1,6,10,21.16666667,46.72966667,0
2016,4,1,6,20,21.33333333,46.45333333,0
2016,4,1,6,30,21.5,46.177,0
2016,4,1,6,40,21.66666667,45.90066667,0
2016,4,1,6,50,21.83333333,45.62433333,0
2016,4,1,7,0,22,45.348,0
2016,4,1,7,10,22.16666667,45.07166667,0
2016,4,1,7,20,22.33333333,44.79533333,0
2016,4,1,7,30,22.5,44.519,0
2016,4,1,7,40,22.66666667,44.24266667,0
2016,4,1,7,50,22.83333333,43.96633333,0
2016,4,1,8,0,23,43.69,0
2016,4,1,8,10,23.16666667,42.81833333,0
2016,4,1,8,20,23.33333333,41.94666667,0
2016,4,1,8,30,23.5,41.075,0
2016,4,1,8,40,23.66666667,40.20333333,0
2016,4,1,8,50,23.83333333,39.33166667,0
2016,4,1,9,0,24,38.46,0
2016,4,1,9,10,24,38.46,1.333333333
2016,4,1,9,20,24,38.46,2.666666667
2016,4,1,9,30,24,38.46,4
2016,4,1,9,40,24,38.46,5.333333333
2016,4,1,9,50,24,38.46,6.666666667
2016,4,1,10,0,24,38.46,8
2016,4,1,10,10,24.125,38.19833333,30.33333333
2016,4,1,10,20,24.25,37.93666667,52.66666667
2016,4,1,10,30,24.375,37.675,75
2016,4,1,10,40,24.5,37.41333333,97.33333333
2016,4,1,10,50,24.625,37.15166667,119.6666667
2016,4,1,11,0,24.75,36.89,142
2016,4,1,11,10,24.875,36.62833333,192.5
2016,4,1,11,20,25,36.36666667,243
2016,4,1,11,30,25.125,36.105,293.5
2016,4,1,11,40,25.25,35.84333333,344
2016,4,1,11,50,25.375,35.58166667,394.5
2016,4,1,12,0,25.5,35.32,445
2016,4,1,12,10,25.625,35.05833333,483.5
2016,4,1,12,20,25.75,34.79666667,522
2016,4,1,12,30,25.875,34.535,560.5
2016,4,1,12,40,26,34.27333333,599
2016,4,1,12,50,26.125,34.01166667,637.5
2016,4,1,13,0,26.25,33.75,676
2016,4,1,13,10,26.375,33.48833333,705.5
2016,4,1,13,20,26.5,33.22666667,735
2016,4,1,13,30,26.625,32.965,764.5
2016,4,1,13,40,26.75,32.70333333,794
2016,4,1,13,50,26.875,32.44166667,823.5
2016,4,1,14,0,27,32.18,853
2016,4,1,14,10,26.83333333,32.52888889,869.5
2016,4,1,14,20,26.66666667,32.87777778,886
2016,4,1,14,30,26.5,33.22666667,902.5
2016,4,1,14,40,26.33333333,33.57555556,919
2016,4,1,14,50,26.16666667,33.92444444,935.5
2016,4,1,15,0,26,34.27333333,952
2016,4,1,15,10,25.83333333,34.62222222,953.3333333
2016,4,1,15,20,25.66666667,34.97111111,954.6666667
2016,4,1,15,30,25.5,35.32,956
2016,4,1,15,40,25.33333333,35.66888889,957.3333333
2016,4,1,15,50,25.16666667,36.01777778,958.6666667
2016,4,1,16,0,25,36.36666667,960
2016,4,1,16,10,24.83333333,36.71555556,953.5
2016,4,1,16,20,24.66666667,37.06444444,947
2016,4,1,16,30,24.5,37.41333333,940.5
2016,4,1,16,40,24.33333333,37.76222222,934
2016,4,1,16,50,24.16666667,38.11111111,927.5
2016,4,1,17,0,24,38.46,921
2016,4,1,17,10,23.91025641,38.89487179,866.8333333
2016,4,1,17,20,23.82051282,39.32974359,812.6666667
2016,4,1,17,30,23.73076923,39.76461538,758.5
2016,4,1,17,40,23.64102564,40.19948718,704.3333333
2016,4,1,17,50,23.55128205,40.63435897,650.1666667
