,,,Hour,Minute,Rel Humidity,Temp,Global Solar Rad
2014,4,1,0,0,16,77.14,0
2014,4,1,0,10,16,77.14,0
2014,4,1,0,20,16,77.14,0
2014,4,1,0,30,16,77.14,0
2014,4,1,0,40,16,77.14,0
2014,4,1,0,50,16,77.14,0
2014,4,1,1,0,16,77.14,0
2014,4,1,1,10,16,77.14,0
2014,4,1,1,20,16,77.14,0
2014,4,1,1,30,16,77.14,0
2014,4,1,1,40,16.66666667,74.07666667,0
2014,4,1,1,50,17.33333333,71.01333333,0
2014,4,1,2,0,18,67.95,0
2014,4,1,2,10,18.66666667,66.64666667,0
2014,4,1,2,20,19.33333333,65.34333333,0
2014,4,1,2,30,20,64.04,0
2014,4,1,2,40,20.33333333,62.76333333,0
2014,4,1,2,50,20.66666667,61.48666667,0
2014,4,1,3,0,21,60.21,0
2014,4,1,3,10,21.33333333,60.28666667,0
2014,4,1,3,20,21.66666667,60.36333333,0
2014,4,1,3,30,22,60.44,0
2014,4,1,3,40,22.33333333,56.92666667,0
2014,4,1,3,50,22.66666667,53.41333333,0
2014,4,1,4,0,23,49.9,0
2014,4,1,4,10,23.33333333,48.92666667,0
2014,4,1,4,20,23.66666667,47.95333333,0
2014,4,1,4,30,24,46.98,0
2014,4,1,4,40,24.33333333,46.09833333,0
2014,4,1,4,50,24.66666667,45.21666667,0
2014,4,1,5,0,25,44.335,0
2014,4,1,5,10,25.33333333,43.45333333,0
2014,4,1,5,20,25.66666667,42.57166667,0
2014,4,1,5,30,26,41.69,0
2014,4,1,5,40,26.33333333,40.89333333,0
2014,4,1,5,50,26.66666667,40.09666667,0
2014,4,1,6,0,27,39.3,0
2014,4,1,6,10,27.33333333,37.02,44.83333333
2014,4,1,6,20,27.66666667,34.74,89.66666667
2014,4,1,6,30,28,32.46,134.5
2014,4,1,6,40,28.33333333,31.84666667,179.3333333
2014,4,1,6,50,28.66666667,31.23333333,224.1666667
2014,4,1,7,0,29,30.62,269
2014,4,1,7,10,29.33333333,28.83333333,300.1666667
2014,4,1,7,20,29.66666667,27.04666667,331.3333333
2014,4,1,7,30,30,25.26,362.5
2014,4,1,7,40,30.33333333,23.77,393.6666667
2014,4,1,7,50,30.66666667,22.28,424.8333333
2014,4,1,8,0,31,20.79,456
2014,4,1,8,10,31.33333333,19.97,479.6666667
2014,4,1,8,20,31.66666667,19.15,503.3333333
2014,4,1,8,30,32,18.33,527
2014,4,1,8,40,32,18.33,550.6666667
2014,4,1,8,50,32,18.33,574.3333333
2014,4,1,9,0,32,18.33,598
2014,4,1,9,10,32.11111111,18.50333333,612.8333333
2014,4,1,9,20,32.22222222,18.67666667,627.6666667
2014,4,1,9,30,32.33333333,18.85,642.5
2014,4,1,9,40,32.44444444,19.02333333,657.3333333
2014,4,1,9,50,32.55555556,19.19666667,672.1666667
2014,4,1,10,0,32.66666667,19.37,687
2014,4,1,10,10,32.77777778,19.54333333,692.8333333
2014,4,1,10,20,32.88888889,19.71666667,698.6666667
2014,4,1,10,30,33,19.89,704.5
2014,4,1,10,40,32.66666667,20.27333333,710.3333333
2014,4,1,10,50,32.33333333,20.65666667,716.1666667
2014,4,1,11,0,32,21.04,722
2014,4,1,11,10,32,21.04,723.6666667
2014,4,1,11,20,32,21.04,725.3333333
2014,4,1,11,30,32,21.04,727
2014,4,1,11,40,31.66666667,21.45,728.6666667
2014,4,1,11,50,31.33333333,21.86,730.3333333
2014,4,1,12,0,31,22.27,732
2014,4,1,12,10,31,22.79666667,729.6666667
2014,4,1,12,20,31,23.32333333,727.3333333
2014,4,1,12,30,31,23.85,725
2014,4,1,12,40,30.66666667,24.32,722.6666667
2014,4,1,12,50,30.33333333,24.79,720.3333333
2014,4,1,13,0,30,25.26,718
2014,4,1,13,10,29.66666667,25.76,711.5
2014,4,1,13,20,29.33333333,26.26,705
2014,4,1,13,30,29,26.76,698.5
2014,4,1,13,40,28.83333333,27.02666667,692
2014,4,1,13,50,28.66666667,27.29333333,685.5
2014,4,1,14,0,28.5,27.56,679
2014,4,1,14,10,28.33333333,27.82666667,663.3333333
2014,4,1,14,20,28.16666667,28.09333333,647.6666667
2014,4,1,14,30,28,28.36,632
2014,4,1,14,40,27.83333333,28.99666667,616.3333333
2014,4,1,14,50,27.66666667,29.63333333,600.6666667
2014,4,1,15,0,27.5,30.27,585
2014,4,1,15,10,27.33333333,30.90666667,563.1666667
2014,4,1,15,20,27.16666667,31.54333333,541.3333333
2014,4,1,15,30,27,32.18,519.5
2014,4,1,15,40,26.66666667,32.83,497.6666667
2014,4,1,15,50,26.33333333,33.48,475.8333333
2014,4,1,16,0,26,34.13,454
2014,4,1,16,10,26,34.13,406.3333333
2014,4,1,16,20,26,34.13,358.6666667
2014,4,1,16,30,26,34.13,311
2014,4,1,16,40,26,34.92333333,263.3333333
2014,4,1,16,50,26,35.71666667,215.6666667
2014,4,1,17,0,26,36.51,168
2014,4,1,17,10,25.66666667,37.25333333,140
2014,4,1,17,20,25.33333333,37.99666667,112
2014,4,1,17,30,25,38.74,84
2014,4,1,17,40,25,38.74,56
2014,4,1,17,50,25,38.74,28
2014,4,1,18,0,25,38.74,0
2014,4,1,18,10,24.66666667,39.54,0
2014,4,1,18,20,24.33333333,40.34,0
2014,4,1,18,30,24,41.14,0
2014,4,1,18,40,24,41.14,0
2014,4,1,18,50,24,41.14,0
2014,4,1,19,0,24,41.14,0
2014,4,1,19,10,24,41.14,0
2014,4,1,19,20,24,41.14,0
2014,4,1,19,30,24,41.14,0
2014,4,1,19,40,23.66666667,41.99,0
2014,4,1,19,50,23.33333333,42.84,0
2014,4,1,20,0,23,43.69,0
2014,4,1,20,10,22.66666667,45.67333333,0
2014,4,1,20,20,22.33333333,47.65666667,0
2014,4,1,20,30,22,49.64,0
2014,4,1,20,40,22,49.64,0
2014,4,1,20,50,22,49.64,0
2014,4,1,21,0,22,49.64,0
2014,4,1,21,10,21.33333333,53.08333333,0
2014,4,1,21,20,20.66666667,56.52666667,0
2014,4,1,21,30,20,59.97,0
2014,4,1,21,40,20,59.97,0
2014,4,1,21,50,20,59.97,0
2014,4,1,22,0,20,59.97,0
2014,4,1,22,10,20.33333333,58.77333333,0
2014,4,1,22,20,20.66666667,57.57666667,0
2014,4,1,22,30,21,56.38,0
2014,4,1,22,40,21,56.38,0
2014,4,1,22,50,21,56.38,0
2014,4,1,23,0,21,56.38,0
2014,4,1,23,10,21,56.38,0
2014,4,1,23,20,21,56.38,0
2014,4,1,23,30,21,56.38,0
2014,4,1,23,40,21,57.65666667,0
2014,4,1,23,50,21,58.93333333,0
