,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2015,4,1,0,0,17,81.71679359,0
2015,4,1,0,10,17,81.71092852,0
2015,4,1,0,20,17,81.70506346,0
2015,4,1,0,30,17,81.6991984,0
2015,4,1,0,40,17,81.69333333,0
2015,4,1,0,50,17,81.68746827,0
2015,4,1,1,0,17,81.68160321,0
2015,4,1,1,10,16.83333333,81.67573814,0
2015,4,1,1,20,16.66666667,81.66987308,0
2015,4,1,1,30,16.5,81.66400802,0
2015,4,1,1,40,16.33333333,81.65814295,0
2015,4,1,1,50,16.16666667,81.65227789,0
2015,4,1,2,0,16,81.64641283,0
2015,4,1,2,10,15.83333333,81.64054776,0
2015,4,1,2,20,15.66666667,81.6346827,0
2015,4,1,2,30,15.5,81.62881764,0
2015,4,1,2,40,15.33333333,81.62295257,0
2015,4,1,2,50,15.16666667,81.61708751,0
2015,4,1,3,0,15,81.61122244,0
2015,4,1,3,10,14.83333333,81.60535738,0
2015,4,1,3,20,14.66666667,81.59949232,0
2015,4,1,3,30,14.5,81.59362725,0
2015,4,1,3,40,14.33333333,81.58776219,0
2015,4,1,3,50,14.16666667,81.58189713,0
2015,4,1,4,0,14,81.57603206,0
2015,4,1,4,10,14.16666667,81.570167,12.33333333
2015,4,1,4,20,14.33333333,81.56430194,24.66666667
2015,4,1,4,30,14.5,81.55843687,37
2015,4,1,4,40,14.66666667,81.55257181,49.33333333
2015,4,1,4,50,14.83333333,81.54670675,61.66666667
2015,4,1,5,0,15,81.54084168,74
2015,4,1,5,10,15,81.53497662,109.5
2015,4,1,5,20,15,81.52911156,145
2015,4,1,5,30,15,81.52324649,180.5
2015,4,1,5,40,15,81.51738143,216
2015,4,1,5,50,15,81.51151637,251.5
2015,4,1,6,0,15,81.5056513,287
2015,4,1,6,10,15.33333333,81.49978624,324.1666667
2015,4,1,6,20,15.66666667,81.49392118,361.3333333
2015,4,1,6,30,16,81.48805611,398.5
2015,4,1,6,40,16.33333333,81.48219105,435.6666667
2015,4,1,6,50,16.66666667,81.47632599,472.8333333
2015,4,1,7,0,17,81.47046092,510
2015,4,1,7,10,16.83333333,81.46459586,542.1666667
2015,4,1,7,20,16.66666667,81.45873079,574.3333333
2015,4,1,7,30,16.5,81.45286573,606.5
2015,4,1,7,40,16.33333333,81.44700067,638.6666667
2015,4,1,7,50,16.16666667,81.4411356,670.8333333
2015,4,1,8,0,16,81.43527054,703
2015,4,1,8,10,16,81.42940548,725
2015,4,1,8,20,16,81.42354041,747
2015,4,1,8,30,16,81.41767535,769
2015,4,1,8,40,16,81.41181029,791
2015,4,1,8,50,16,81.40594522,813
2015,4,1,9,0,16,81.40008016,835
2015,4,1,9,10,16,81.3942151,846.8333333
2015,4,1,9,20,16,81.38835003,858.6666667
2015,4,1,9,30,16,81.38248497,870.5
2015,4,1,9,40,16,81.37661991,882.3333333
2015,4,1,9,50,16,81.37075484,894.1666667
2015,4,1,10,0,16,81.36488978,906
2015,4,1,10,10,16,81.35902472,906.6666667
2015,4,1,10,20,16,81.35315965,907.3333333
2015,4,1,10,30,16,81.34729459,908
2015,4,1,10,40,16,81.34142953,908.6666667
2015,4,1,10,50,16,81.33556446,909.3333333
2015,4,1,11,0,16,81.3296994,910
2015,4,1,11,10,16.16666667,81.32383434,898.8333333
2015,4,1,11,20,16.33333333,81.31796927,887.6666667
2015,4,1,11,30,16.5,81.31210421,876.5
2015,4,1,11,40,16.66666667,81.30623914,865.3333333
2015,4,1,11,50,16.83333333,81.30037408,854.1666667
2015,4,1,12,0,17,81.29450902,843
2015,4,1,12,10,16.83333333,81.28864395,825.1666667
2015,4,1,12,20,16.66666667,81.28277889,807.3333333
2015,4,1,12,30,16.5,81.27691383,789.5
2015,4,1,12,40,16.33333333,81.27104876,771.6666667
2015,4,1,12,50,16.16666667,81.2651837,753.8333333
2015,4,1,13,0,16,81.25931864,736
2015,4,1,13,10,16,81.25345357,707.5
2015,4,1,13,20,16,81.24758851,679
2015,4,1,13,30,16,81.24172345,650.5
