,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2015,4,1,0,0,20.5,31.455,0
2015,4,1,0,10,20.25,31.56916667,0
2015,4,1,0,20,20,31.68333333,0
2015,4,1,0,30,19.75,31.7975,0
2015,4,1,0,40,19.5,31.91166667,0
2015,4,1,0,50,19.25,32.02583333,0
2015,4,1,1,0,19,32.14,0
2015,4,1,1,10,18.77777778,32.49666667,0
2015,4,1,1,20,18.55555556,32.85333333,0
2015,4,1,1,30,18.33333333,33.21,0
2015,4,1,1,40,18.11111111,33.56666667,0
2015,4,1,1,50,17.88888889,33.92333333,0
2015,4,1,2,0,17.66666667,34.28,0
2015,4,1,2,10,17.44444444,34.63666667,0
2015,4,1,2,20,17.22222222,34.99333333,0
2015,4,1,2,30,17,35.35,0
2015,4,1,2,40,16.77777778,35.70666667,0
2015,4,1,2,50,16.55555556,36.06333333,0
2015,4,1,3,0,16.33333333,36.42,0
2015,4,1,3,10,16.11111111,36.77666667,0
2015,4,1,3,20,15.88888889,37.13333333,0
2015,4,1,3,30,15.66666667,37.49,0
2015,4,1,3,40,15.44444444,37.84666667,0
2015,4,1,3,50,15.22222222,38.20333333,0
2015,4,1,4,0,15,38.56,0
2015,4,1,4,10,14.66666667,40.57333333,0
2015,4,1,4,20,14.33333333,42.58666667,0
2015,4,1,4,30,14,44.6,0
2015,4,1,4,40,13.66666667,46.61333333,0
2015,4,1,4,50,13.33333333,48.62666667,0
2015,4,1,5,0,13,50.64,0
2015,4,1,5,10,13,50.06,0
2015,4,1,5,20,13,49.48,0
2015,4,1,5,30,13,48.9,0
2015,4,1,5,40,13,48.32,0
2015,4,1,5,50,13,47.74,0
2015,4,1,6,0,13,47.16,0
2015,4,1,6,10,12.83333333,48.04416667,0
2015,4,1,6,20,12.66666667,48.92833333,0
2015,4,1,6,30,12.5,49.8125,0
2015,4,1,6,40,12.33333333,50.69666667,0
2015,4,1,6,50,12.16666667,51.58083333,0
2015,4,1,7,0,12,52.465,0
2015,4,1,7,10,11.83333333,53.34916667,48
2015,4,1,7,20,11.66666667,54.23333333,96
2015,4,1,7,30,11.5,55.1175,144
2015,4,1,7,40,11.33333333,56.00166667,192
2015,4,1,7,50,11.16666667,56.88583333,240
2015,4,1,8,0,11,57.77,288
2015,4,1,8,10,10.83333333,58.09666667,363.6666667
2015,4,1,8,20,10.66666667,58.42333333,439.3333333
2015,4,1,8,30,10.5,58.75,515
2015,4,1,8,40,10.33333333,59.07666667,590.6666667
2015,4,1,8,50,10.16666667,59.40333333,666.3333333
2015,4,1,9,0,10,59.73,742
2015,4,1,9,10,9.833333333,60.05666667,723.5
2015,4,1,9,20,9.666666667,60.38333333,705
2015,4,1,9,30,9.5,60.71,686.5
2015,4,1,9,40,9.333333333,61.03666667,668
2015,4,1,9,50,9.166666667,61.36333333,649.5
2015,4,1,10,0,9,61.69,631
2015,4,1,10,10,8.833333333,62.01666667,602.8333333
2015,4,1,10,20,8.666666667,62.34333333,574.6666667
2015,4,1,10,30,8.5,62.67,546.5
2015,4,1,10,40,8.333333333,62.99666667,518.3333333
2015,4,1,10,50,8.166666667,63.32333333,490.1666667
2015,4,1,11,0,8,63.65,462
2015,4,1,11,10,7.833333333,63.97666667,553.1666667
2015,4,1,11,20,7.666666667,64.30333333,644.3333333
2015,4,1,11,30,7.5,64.63,735.5
2015,4,1,11,40,7.333333333,64.95666667,826.6666667
2015,4,1,11,50,7.166666667,65.28333333,917.8333333
2015,4,1,12,0,7,65.61,1009
2015,4,1,12,10,7.833333333,63.68666667,1012.333333
2015,4,1,12,20,8.666666667,61.76333333,1015.666667
2015,4,1,12,30,9.5,59.84,1019
2015,4,1,12,40,10.33333333,57.91666667,1022.333333
2015,4,1,12,50,11.16666667,55.99333333,1025.666667
2015,4,1,13,0,12,54.07,1029
2015,4,1,13,10,12.5,52.47,1030
2015,4,1,13,20,13,50.87,1031
2015,4,1,13,30,13.5,49.27,1032
2015,4,1,13,40,14,47.67,1033
2015,4,1,13,50,14.5,46.07,1034
2015,4,1,14,0,15,44.47,1035
2015,4,1,14,10,15.25,43.41833333,1033.666667
2015,4,1,14,20,15.5,42.36666667,1032.333333
2015,4,1,14,30,15.75,41.315,1031
2015,4,1,14,40,16,40.26333333,1029.666667
2015,4,1,14,50,16.25,39.21166667,1028.333333
2015,4,1,15,0,16.5,38.16,1027
2015,4,1,15,10,16.75,37.10833333,1023.333333
2015,4,1,15,20,17,36.05666667,1019.666667
2015,4,1,15,30,17.25,35.005,1016
2015,4,1,15,40,17.5,33.95333333,1012.333333
2015,4,1,15,50,17.75,32.90166667,1008.666667
2015,4,1,16,0,18,31.85,1005
2015,4,1,16,10,18.5,30.35166667,997.8333333
2015,4,1,16,20,19,28.85333333,990.6666667
2015,4,1,16,30,19.5,27.355,983.5
2015,4,1,16,40,20,25.85666667,976.3333333
2015,4,1,16,50,20.5,24.35833333,969.1666667
2015,4,1,17,0,21,22.86,962
2015,4,1,17,10,21.33333333,22.42166667,948.6666667
2015,4,1,17,20,21.66666667,21.98333333,935.3333333
2015,4,1,17,30,22,21.545,922
2015,4,1,17,40,22.33333333,21.10666667,908.6666667
2015,4,1,17,50,22.66666667,20.66833333,895.3333333
2015,4,1,18,0,23,20.23,882
2015,4,1,18,10,23.11111111,20.17833333,852.1666667
2015,4,1,18,20,23.22222222,20.12666667,822.3333333
2015,4,1,18,30,23.33333333,20.075,792.5
2015,4,1,18,40,23.44444444,20.02333333,762.6666667
2015,4,1,18,50,23.55555556,19.97166667,732.8333333
2015,4,1,19,0,23.66666667,19.92,703
2015,4,1,19,10,23.77777778,19.86833333,585.8333333
2015,4,1,19,20,23.88888889,19.81666667,468.6666667
2015,4,1,19,30,24,19.765,351.5
2015,4,1,19,40,24.11111111,19.71333333,234.3333333
2015,4,1,19,50,24.22222222,19.66166667,117.1666667
2015,4,1,20,0,24.33333333,19.61,0
2015,4,1,20,10,24.44444444,19.55833333,0
2015,4,1,20,20,24.55555556,19.50666667,0
2015,4,1,20,30,24.66666667,19.455,0
2015,4,1,20,40,24.77777778,19.40333333,0
2015,4,1,20,50,24.88888889,19.35166667,0
2015,4,1,21,0,25,19.3,0
2015,4,1,21,10,25,19.3,0
2015,4,1,21,20,25,19.3,0
2015,4,1,21,30,25,19.3,0
2015,4,1,21,40,25,19.3,0
2015,4,1,21,50,25,19.3,0
2015,4,1,22,0,25,19.3,0
2015,4,1,22,10,24.66666667,19.74083333,0
2015,4,1,22,20,24.33333333,20.18166667,0
2015,4,1,22,30,24,20.6225,0
2015,4,1,22,40,23.66666667,21.06333333,0
2015,4,1,22,50,23.33333333,21.50416667,0
2015,4,1,23,0,23,21.945,0
2015,4,1,23,10,22.66666667,22.38583333,0
2015,4,1,23,20,22.33333333,22.82666667,0
2015,4,1,23,30,22,23.2675,0
2015,4,1,23,40,21.66666667,23.70833333,0
2015,4,1,23,50,21.33333333,24.14916667,0
