,GHI,Temperature,Relative Humidity
2005-01-01 00:00:00,0,18,92
2005-01-01 00:10:00,0,18,91.33333333
2005-01-01 00:20:00,0,18,90.66666667
2005-01-01 00:30:00,0,18,90
2005-01-01 00:40:00,0,18,89.33333333
2005-01-01 00:50:00,0,18,88.66666667
2005-01-01 01:00:00,0,18,88
2005-01-01 01:10:00,0,17.83333333,89
2005-01-01 01:20:00,0,17.66666667,90
2005-01-01 01:30:00,0,17.5,91
2005-01-01 01:40:00,0,17.33333333,92
2005-01-01 01:50:00,0,17.16666667,93
2005-01-01 02:00:00,0,17,94
2005-01-01 02:10:00,0,17,94
2005-01-01 02:20:00,0,17,94
2005-01-01 02:30:00,0,17,94
2005-01-01 02:40:00,0,17,94
2005-01-01 02:50:00,0,17,94
2005-01-01 03:00:00,0,17,94
2005-01-01 03:10:00,0,17,94
2005-01-01 03:20:00,0,17,94
2005-01-01 03:30:00,0,17,94
2005-01-01 03:40:00,0,17,94
2005-01-01 03:50:00,0,17,94
2005-01-01 04:00:00,0,17,94
2005-01-01 04:10:00,0,17,94
2005-01-01 04:20:00,0,17,94
2005-01-01 04:30:00,0,17,94
2005-01-01 04:40:00,0,17,94
2005-01-01 04:50:00,0,17,94
2005-01-01 05:00:00,0,17,94
2005-01-01 05:10:00,0,17,94
2005-01-01 05:20:00,0,17,94
2005-01-01 05:30:00,0,17,94
2005-01-01 05:40:00,0,17,94
2005-01-01 05:50:00,0,17,94
2005-01-01 06:00:00,0,17,94
2005-01-01 06:10:00,0,16.83333333,94.33333333
2005-01-01 06:20:00,0,16.66666667,94.66666667
2005-01-01 06:30:00,0,16.5,95
2005-01-01 06:40:00,0,16.33333333,95.33333333
2005-01-01 06:50:00,0,16.16666667,95.66666667
2005-01-01 07:00:00,0,16,96
2005-01-01 07:10:00,23.5,16.16666667,95.66666667
2005-01-01 07:20:00,47,16.33333333,95.33333333
2005-01-01 07:30:00,70.5,16.5,95
2005-01-01 07:40:00,94,16.66666667,94.66666667
2005-01-01 07:50:00,117.5,16.83333333,94.33333333
2005-01-01 08:00:00,141,17,94
2005-01-01 08:10:00,145.6666667,17.33333333,93
2005-01-01 08:20:00,150.3333333,17.66666667,92
2005-01-01 08:30:00,155,18,91
2005-01-01 08:40:00,159.6666667,18.33333333,90
2005-01-01 08:50:00,164.3333333,18.66666667,89
2005-01-01 09:00:00,169,19,88
2005-01-01 09:10:00,179.8333333,19.16666667,86.16666667
2005-01-01 09:20:00,190.6666667,19.33333333,84.33333333
2005-01-01 09:30:00,201.5,19.5,82.5
2005-01-01 09:40:00,212.3333333,19.66666667,80.66666667
2005-01-01 09:50:00,223.1666667,19.83333333,78.83333333
2005-01-01 10:00:00,234,20,77
2005-01-01 10:10:00,210.5,20.16666667,76
2005-01-01 10:20:00,187,20.33333333,75
2005-01-01 10:30:00,163.5,20.5,74
2005-01-01 10:40:00,140,20.66666667,73
2005-01-01 10:50:00,116.5,20.83333333,72
2005-01-01 11:00:00,93,21,71
2005-01-01 11:10:00,141.8333333,21.33333333,70
2005-01-01 11:20:00,190.6666667,21.66666667,69
2005-01-01 11:30:00,239.5,22,68
2005-01-01 11:40:00,288.3333333,22.33333333,67
2005-01-01 11:50:00,337.1666667,22.66666667,66
2005-01-01 12:00:00,386,23,65
2005-01-01 12:10:00,361.6666667,22.83333333,64.16666667
2005-01-01 12:20:00,337.3333333,22.66666667,63.33333333
2005-01-01 12:30:00,313,22.5,62.5
2005-01-01 12:40:00,288.6666667,22.33333333,61.66666667
2005-01-01 12:50:00,264.3333333,22.16666667,60.83333333
2005-01-01 13:00:00,240,22,60
2005-01-01 13:10:00,253.6666667,22.16666667,59.5
2005-01-01 13:20:00,267.3333333,22.33333333,59
2005-01-01 13:30:00,281,22.5,58.5
2005-01-01 13:40:00,294.6666667,22.66666667,58
2005-01-01 13:50:00,308.3333333,22.83333333,57.5
2005-01-01 14:00:00,322,23,57
2005-01-01 14:10:00,304.5,23,57.33333333
2005-01-01 14:20:00,287,23,57.66666667
2005-01-01 14:30:00,269.5,23,58
2005-01-01 14:40:00,252,23,58.33333333
2005-01-01 14:50:00,234.5,23,58.66666667
2005-01-01 15:00:00,217,23,59
2005-01-01 15:10:00,194.3333333,22.83333333,59.83333333
2005-01-01 15:20:00,171.6666667,22.66666667,60.66666667
2005-01-01 15:30:00,149,22.5,61.5
2005-01-01 15:40:00,126.3333333,22.33333333,62.33333333
2005-01-01 15:50:00,103.6666667,22.16666667,63.16666667
2005-01-01 16:00:00,81,22,64
2005-01-01 16:10:00,68.66666667,21.83333333,64.83333333
2005-01-01 16:20:00,56.33333333,21.66666667,65.66666667
2005-01-01 16:30:00,44,21.5,66.5
2005-01-01 16:40:00,31.66666667,21.33333333,67.33333333
2005-01-01 16:50:00,19.33333333,21.16666667,68.16666667
2005-01-01 17:00:00,7,21,69
2005-01-01 17:10:00,5.833333333,20.66666667,70.33333333
2005-01-01 17:20:00,4.666666667,20.33333333,71.66666667
2005-01-01 17:30:00,3.5,20,73
2005-01-01 17:40:00,2.333333333,19.66666667,74.33333333
2005-01-01 17:50:00,1.166666667,19.33333333,75.66666667
2005-01-01 18:00:00,0,19,77
2005-01-01 18:10:00,0,19,78
2005-01-01 18:20:00,0,19,79
2005-01-01 18:30:00,0,19,80
2005-01-01 18:40:00,0,19,81
2005-01-01 18:50:00,0,19,82
2005-01-01 19:00:00,0,19,83
2005-01-01 19:10:00,0,19,83
2005-01-01 19:20:00,0,19,83
2005-01-01 19:30:00,0,19,83
2005-01-01 19:40:00,0,19,83
2005-01-01 19:50:00,0,19,83
