,GHI,Temperature,Relative Humidity
1/1/2005 0:00,0,18,92
1/1/2005 0:10,0,18,91.33333333
1/1/2005 0:20,0,18,90.66666667
1/1/2005 0:30,0,18,90
1/1/2005 0:40,0,18,89.33333333
1/1/2005 0:50,0,18,88.66666667
1/1/2005 1:00,0,18,88
1/1/2005 1:10,0,17.83333333,89
1/1/2005 1:20,0,17.66666667,90
1/1/2005 1:30,0,17.5,91
1/1/2005 1:40,0,17.33333333,92
1/1/2005 1:50,0,17.16666667,93
1/1/2005 2:00,0,17,94
1/1/2005 2:10,0,17,94
1/1/2005 2:20,0,17,94
1/1/2005 2:30,0,17,94
1/1/2005 2:40,0,17,94
1/1/2005 2:50,0,17,94
1/1/2005 3:00,0,17,94
1/1/2005 3:10,0,17,94
1/1/2005 3:20,0,17,94
1/1/2005 3:30,0,17,94
1/1/2005 3:40,0,17,94
1/1/2005 3:50,0,17,94
1/1/2005 4:00,0,17,94
1/1/2005 4:10,0,17,94
1/1/2005 4:20,0,17,94
1/1/2005 4:30,0,17,94
1/1/2005 4:40,0,17,94
1/1/2005 4:50,0,17,94
1/1/2005 5:00,0,17,94
1/1/2005 5:10,0,17,94
1/1/2005 5:20,0,17,94
1/1/2005 5:30,0,17,94
1/1/2005 5:40,0,17,94
1/1/2005 5:50,0,17,94
1/1/2005 6:00,0,17,94
1/1/2005 6:10,0,16.83333333,94.33333333
1/1/2005 6:20,0,16.66666667,94.66666667
1/1/2005 6:30,0,16.5,95
1/1/2005 6:40,0,16.33333333,95.33333333
1/1/2005 6:50,0,16.16666667,95.66666667
1/1/2005 7:00,0,16,96
1/1/2005 7:10,23.5,16.16666667,95.66666667
1/1/2005 7:20,47,16.33333333,95.33333333
1/1/2005 7:30,70.5,16.5,95
1/1/2005 7:40,94,16.66666667,94.66666667
1/1/2005 7:50,117.5,16.83333333,94.33333333
1/1/2005 8:00,141,17,94
1/1/2005 8:10,145.6666667,17.33333333,93
1/1/2005 8:20,150.3333333,17.66666667,92
1/1/2005 8:30,155,18,91
1/1/2005 8:40,159.6666667,18.33333333,90
1/1/2005 8:50,164.3333333,18.66666667,89
1/1/2005 9:00,169,19,88
1/1/2005 9:10,179.8333333,19.16666667,86.16666667
1/1/2005 9:20,190.6666667,19.33333333,84.33333333
1/1/2005 9:30,201.5,19.5,82.5
