,,,Hour,Minute,Rel Humidity,Temp,Global Solar Rad
2015,4,1,0,0,63.65583333,23.66666667,0
2015,4,1,0,10,64.11513889,23.61111111,0
2015,4,1,0,20,64.57444444,23.55555556,0
2015,4,1,0,30,65.03375,23.5,0
2015,4,1,0,40,65.49305556,23.44444444,0
2015,4,1,0,50,65.95236111,23.38888889,0
2015,4,1,1,0,66.41166667,23.33333333,0
2015,4,1,1,10,66.87097222,23.27777778,0
2015,4,1,1,20,67.33027778,23.22222222,0
2015,4,1,1,30,67.78958333,23.16666667,0
2015,4,1,1,40,68.24888889,23.11111111,0
2015,4,1,1,50,68.70819444,23.05555556,0
2015,4,1,2,0,69.1675,23,0
2015,4,1,2,10,69.62680556,22.94444444,0
2015,4,1,2,20,70.08611111,22.88888889,0
2015,4,1,2,30,70.54541667,22.83333333,0
2015,4,1,2,40,71.00472222,22.77777778,0
2015,4,1,2,50,71.46402778,22.72222222,0
2015,4,1,3,0,71.92333333,22.66666667,0
2015,4,1,3,10,72.38263889,22.61111111,0
2015,4,1,3,20,72.84194444,22.55555556,0
2015,4,1,3,30,73.30125,22.5,0
2015,4,1,3,40,73.76055556,22.44444444,0
2015,4,1,3,50,74.21986111,22.38888889,0
2015,4,1,4,0,74.67916667,22.33333333,0
2015,4,1,4,10,75.13847222,22.27777778,0
2015,4,1,4,20,75.59777778,22.22222222,0
2015,4,1,4,30,76.05708333,22.16666667,0
2015,4,1,4,40,76.51638889,22.11111111,0
2015,4,1,4,50,76.97569444,22.05555556,0
2015,4,1,5,0,77.435,22,0
2015,4,1,5,10,77.89430556,21.94444444,0
2015,4,1,5,20,78.35361111,21.88888889,0
2015,4,1,5,30,78.81291667,21.83333333,0
2015,4,1,5,40,79.27222222,21.77777778,0
2015,4,1,5,50,79.73152778,21.72222222,0
2015,4,1,6,0,80.19083333,21.66666667,0
2015,4,1,6,10,80.65013889,21.61111111,0
2015,4,1,6,20,81.10944444,21.55555556,0
2015,4,1,6,30,81.56875,21.5,0
2015,4,1,6,40,82.02805556,21.44444444,0
2015,4,1,6,50,82.48736111,21.38888889,0
