,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2004,12,31,23,59,59,92,0
2005,1,1,0,9,59,92.66666667,0
2005,1,1,0,19,59,93.33333333,0
2005,1,1,0,29,59,94,0
2005,1,1,0,39,59,94.66666667,0
2005,1,1,0,49,59,95.33333333,0
2005,1,1,0,59,59,96,0
2005,1,1,1,9,59,96.66666667,0
2005,1,1,1,19,59,97.33333333,0
2005,1,1,1,29,59,98,0
2005,1,1,1,39,59,98.66666667,0
2005,1,1,1,49,59,99.33333333,0
2005,1,1,1,59,59,100,0
2005,1,1,2,9,59,98.66666667,0
2005,1,1,2,19,59,97.33333333,0
2005,1,1,2,29,59,96,0
2005,1,1,2,39,59,94.66666667,0
2005,1,1,2,49,59,93.33333333,0
2005,1,1,2,59,59,92,0
2005,1,1,3,9,59,93.33333333,0
2005,1,1,3,19,59,94.66666667,0
2005,1,1,3,29,59,96,0
2005,1,1,3,39,59,97.33333333,0
2005,1,1,3,49,59,98.66666667,0
2005,1,1,3,59,59,100,0
2005,1,1,4,9,59,99.16666667,0
2005,1,1,4,19,59,98.33333333,0
2005,1,1,4,29,59,97.5,0
2005,1,1,4,39,59,96.66666667,0
2005,1,1,4,49,59,95.83333333,0
2005,1,1,4,59,59,95,0
2005,1,1,5,9,59,95.16666667,0
2005,1,1,5,19,59,95.33333333,0
2005,1,1,5,29,59,95.5,0
2005,1,1,5,39,59,95.66666667,0
2005,1,1,5,49,59,95.83333333,0
2005,1,1,5,59,59,96,0
2005,1,1,6,9,59,96.66666667,0
2005,1,1,6,19,59,97.33333333,0
2005,1,1,6,29,59,98,0
2005,1,1,6,39,59,98.66666667,0
2005,1,1,6,49,59,99.33333333,0
2005,1,1,6,59,59,100,0
2005,1,1,7,9,59,98.66666667,1.333333333
2005,1,1,7,19,59,97.33333333,2.666666667
2005,1,1,7,29,59,96,4
2005,1,1,7,39,59,94.66666667,5.333333333
2005,1,1,7,49,59,93.33333333,6.666666667
2005,1,1,7,59,59,92,8
2005,1,1,8,9,59,92.66666667,12.66666667
2005,1,1,8,19,59,93.33333333,17.33333333
2005,1,1,8,29,59,94,22
2005,1,1,8,39,59,94.66666667,26.66666667
2005,1,1,8,49,59,95.33333333,31.33333333
2005,1,1,8,59,59,96,36
2005,1,1,9,9,59,95.16666667,37
2005,1,1,9,19,59,94.33333333,38
2005,1,1,9,29,59,93.5,39
2005,1,1,9,39,59,92.66666667,40
2005,1,1,9,49,59,91.83333333,41
2005,1,1,9,59,59,91,42
2005,1,1,10,9,59,90.5,46.66666667
2005,1,1,10,19,59,90,51.33333333
2005,1,1,10,29,59,89.5,56
2005,1,1,10,39,59,89,60.66666667
2005,1,1,10,49,59,88.5,65.33333333
2005,1,1,10,59,59,88,70
2005,1,1,11,9,59,88,77.5
2005,1,1,11,19,59,88,85
2005,1,1,11,29,59,88,92.5
2005,1,1,11,39,59,88,100
2005,1,1,11,49,59,88,107.5
2005,1,1,11,59,59,88,115
2005,1,1,12,9,59,87.5,113.8333333
2005,1,1,12,19,59,87,112.6666667
2005,1,1,12,29,59,86.5,111.5
2005,1,1,12,39,59,86,110.3333333
2005,1,1,12,49,59,85.5,109.1666667
2005,1,1,12,59,59,85,108
2005,1,1,13,9,59,85.33333333,105.5
2005,1,1,13,19,59,85.66666667,103
2005,1,1,13,29,59,86,100.5
2005,1,1,13,39,59,86.33333333,98
2005,1,1,13,49,59,86.66666667,95.5
2005,1,1,13,59,59,87,93
2005,1,1,14,9,59,89.16666667,77.5
2005,1,1,14,19,59,91.33333333,62
2005,1,1,14,29,59,93.5,46.5
2005,1,1,14,39,59,95.66666667,31
2005,1,1,14,49,59,97.83333333,15.5
2005,1,1,14,59,59,100,0
2005,1,1,15,9,59,100,0
2005,1,1,15,19,59,100,0
2005,1,1,15,29,59,100,0
2005,1,1,15,39,59,100,0
2005,1,1,15,49,59,100,0
2005,1,1,15,59,59,100,0
2005,1,1,16,9,59,98.5,0
2005,1,1,16,19,59,97,0
2005,1,1,16,29,59,95.5,0
2005,1,1,16,39,59,94,0
2005,1,1,16,49,59,92.5,0
2005,1,1,16,59,59,91,0
2005,1,1,17,9,59,91,0
2005,1,1,17,19,59,91,0
2005,1,1,17,29,59,91,0
2005,1,1,17,39,59,91,0
2005,1,1,17,49,59,91,0
2005,1,1,17,59,59,91,0
2005,1,1,18,9,59,91.16666667,0
2005,1,1,18,19,59,91.33333333,0
